"Unidade da Federação,""Ano"",""Variável"",""Total"",""Abacate"",""Abacaxi*"",""Açaí"",""Alfafa fenada"",""Algodão arbóreo (em caroço)"",""Algodão herbáceo (em caroço)"",""Alho"",""Amendoim (em casca)"",""Arroz (em casca)"",""Aveia (em grão)"",""Azeitona"",""Banana (cacho)"",""Batata-doce"",""Batata-inglesa"",""Borracha (látex coagulado)"",""Borracha (látex líquido)"",""Cacau (em amêndoa)"",""Café (em grão) Total"",""Café (em grão) Arábica"",""Café (em grão) Canephora"",""Caju"",""Cana-de-açúcar"",""Cana para forragem"",""Caqui"",""Castanha de caju"",""Cebola"",""Centeio (em grão)"",""Cevada (em grão)"",""Chá-da-índia (folha verde)"",""Coco-da-baía*"",""Dendê (cacho de coco)"",""Erva-mate (folha verde)"",""Ervilha (em grão)"",""Fava (em grão)"",""Feijão (em grão)"",""Figo"",""Fumo (em folha)"",""Girassol (em grão)"",""Goiaba"",""Guaraná (semente)"",""Juta (fibra)"",""Laranja"",""Limão"",""Linho (semente)"",""Maçã"",""Malva (fibra)"",""Mamão"",""Mamona (baga)"",""Mandioca"",""Manga"",""Maracujá"",""Marmelo"",""Melancia"",""Melão"",""Milho (em grão)"",""Noz (fruto seco)"",""Palmito"",""Pera"",""Pêssego"",""Pimenta-do-reino"",""Rami (fibra)"",""Sisal ou agave (fibra)"",""Soja (em grão)"",""Sorgo (em grão)"",""Tangerina"",""Tomate"",""Trigo (em grão)"",""Triticale (em grão)"",""Tungue (fruto seco)"",""Urucum (semente)"",""Uva"""
"São Paulo,""1984"",""Quantidade produzida (Toneladas)"","".."",""250270"",""36743"",""..."",""67"",""-"",""507686"",""4135"",""215167"",""398790"",""-"",""-"",""46900"",""23558"",""545229"",""211"",""1105"",""560"",""930600"",""..."",""..."",""1800"",""117209246"",""3364494"",""342205"",""..."",""270107"",""-"",""-"",""39450"",""123"",""..."",""-"",""..."",""-"",""296852"",""275039"",""613"",""..."",""..."",""-"",""-"",""52518026"",""2610485"",""-"",""119722"",""-"",""70508"",""26222"",""653255"",""149867"",""..."",""404"",""13482"",""3214"",""2866742"",""24"",""-"",""37153"",""141560"",""-"",""-"",""-"",""870703"",""60000"",""2420924"",""780396"",""113060"",""..."",""-"",""..."",""110066"""
"São Paulo,""1985"",""Quantidade produzida (Toneladas)"","".."",""213323"",""37367"",""..."",""299"",""-"",""701832"",""3515"",""289821"",""509778"",""-"",""-"",""47831"",""26191"",""489609"",""172"",""1102"",""384"",""1032240"",""..."",""..."",""1800"",""125872013"",""3118655"",""357443"",""..."",""236858"",""-"",""-"",""10565"",""63"",""..."",""-"",""..."",""-"",""373345"",""226637"",""533"",""..."",""..."",""-"",""-"",""58670619"",""2812273"",""-"",""100892"",""-"",""38540"",""28214"",""784679"",""219749"",""..."",""403"",""12638"",""3198"",""2895322"",""21"",""-"",""26246"",""146016"",""2"",""-"",""-"",""960386"",""42403"",""2424013"",""809500"",""295995"",""..."",""-"",""..."",""101268"""
"São Paulo,""1986"",""Quantidade produzida (Toneladas)"","".."",""206657"",""35592"",""..."",""760"",""-"",""701233"",""4089"",""191526"",""545205"",""-"",""-"",""66266"",""22329"",""547688"",""176"",""2782"",""369"",""231455"",""..."",""..."",""1500"",""116280842"",""3266559"",""348459"",""..."",""264283"",""-"",""-"",""11885"",""65"",""..."",""-"",""..."",""-"",""286916"",""266756"",""490"",""..."",""..."",""-"",""-"",""53707066"",""3049947"",""-"",""80257"",""-"",""36018"",""16629"",""708585"",""200030"",""..."",""1578"",""15488"",""4221"",""3093600"",""23"",""-"",""26713"",""145527"",""1"",""-"",""-"",""918036"",""69964"",""2439315"",""724847"",""311388"",""..."",""-"",""..."",""96895"""
"São Paulo,""1987"",""Quantidade produzida (Toneladas)"","".."",""193723"",""40967"",""..."",""1330"",""-"",""567131"",""4943"",""164852"",""552160"",""-"",""-"",""69106"",""21135"",""574800"",""172"",""2653"",""440"",""977728"",""..."",""..."",""1500"",""130421930"",""3339349"",""336746"",""..."",""282500"",""-"",""-"",""11915"",""48"",""..."",""-"",""..."",""-"",""291450"",""332923"",""275"",""..."",""..."",""-"",""-"",""60635024"",""3736874"",""-"",""66175"",""-"",""15691"",""21238"",""754299"",""218908"",""..."",""1320"",""17437"",""3437"",""3732470"",""17"",""-"",""19875"",""148384"",""3"",""-"",""-"",""923400"",""80600"",""2472037"",""733761"",""319800"",""..."",""-"",""..."",""107243"""
"São Paulo,""1988"",""Quantidade produzida (Toneladas)"","".."",""190227"",""35326"",""..."",""..."",""-"",""714119"",""4179"",""145184"",""511665"",""-"",""-"",""53210"",""23396"",""500632"",""3811"",""..."",""360"",""565800"",""..."",""..."",""..."",""135399355"",""..."",""330389"",""-"",""266696"",""-"",""-"",""39850"",""43"",""-"",""-"",""328"",""-"",""401416"",""268050"",""307"",""..."",""526565"",""-"",""-"",""62195000"",""4434580"",""-"",""46291"",""-"",""4638"",""16365"",""529103"",""271507"",""23881"",""181"",""17293"",""3334"",""3684000"",""18"",""-"",""17870"",""159807"",""3"",""-"",""-"",""1001900"",""67361"",""2218701"",""766385"",""358137"",""..."",""-"",""1291"",""99359"""
"São Paulo,""1989"",""Quantidade produzida (Toneladas)"","".."",""195458"",""22543"",""..."",""..."",""-"",""513530"",""3848"",""133057"",""486319"",""-"",""-"",""65956"",""21698"",""546600"",""7254"",""..."",""394"",""469199"",""..."",""..."",""..."",""126024835"",""..."",""333453"",""-"",""283903"",""-"",""-"",""41330"",""51"",""-"",""-"",""242"",""-"",""326141"",""291588"",""223"",""..."",""535108"",""-"",""-"",""74140000"",""4439699"",""-"",""56935"",""-"",""4434"",""16117"",""531562"",""330920"",""48294"",""183"",""16970"",""2122"",""3748248"",""20"",""-"",""17770"",""158588"",""1"",""-"",""-"",""1350000"",""83924"",""2065409"",""785212"",""360900"",""..."",""-"",""2763"",""105951"""
"São Paulo,""1990"",""Quantidade produzida (Toneladas)"","".."",""211561"",""19731"",""..."",""..."",""-"",""480080"",""3960"",""121250"",""313018"",""-"",""-"",""64770"",""22604"",""505921"",""7689"",""..."",""288"",""649552"",""..."",""..."",""..."",""137835000"",""..."",""325702"",""-"",""275997"",""-"",""-"",""41195"",""51"",""-"",""-"",""140"",""-"",""271800"",""255405"",""142"",""..."",""543795"",""-"",""-"",""72325000"",""4505441"",""-"",""52266"",""-"",""7577"",""16521"",""541947"",""325799"",""323918"",""15"",""17119"",""1971"",""2766000"",""20"",""-"",""13573"",""151765"",""1"",""-"",""-"",""937200"",""94380"",""2177102"",""593450"",""203000"",""..."",""-"",""1998"",""126224"""
"São Paulo,""1991"",""Quantidade produzida (Toneladas)"","".."",""193116"",""14452"",""..."",""..."",""-"",""438700"",""4930"",""123000"",""335053"",""-"",""-"",""73905"",""24686"",""582000"",""13758"",""..."",""290"",""475200"",""..."",""..."",""..."",""136200000"",""..."",""329550"",""-"",""296069"",""-"",""-"",""43925"",""50"",""-"",""-"",""51"",""-"",""282900"",""260994"",""160"",""..."",""477695"",""-"",""-"",""79022548"",""4711666"",""-"",""128222"",""-"",""6146"",""12952"",""571100"",""378462"",""440702"",""15"",""17346"",""2084"",""4070800"",""22"",""-"",""16056"",""164550"",""1"",""-"",""-"",""983352"",""92690"",""2209816"",""665190"",""141798"",""..."",""-"",""2325"",""122810"""
"São Paulo,""1992"",""Quantidade produzida (Toneladas)"","".."",""204347"",""25760"",""..."",""..."",""-"",""397625"",""3820"",""153750"",""337200"",""-"",""-"",""58644"",""24320"",""567900"",""22441"",""..."",""252"",""372840"",""..."",""..."",""..."",""145500000"",""..."",""319165"",""-"",""247264"",""-"",""-"",""25100"",""143"",""-"",""-"",""51"",""-"",""310100"",""258712"",""182"",""..."",""626227"",""-"",""-"",""82884965"",""5404547"",""-"",""102065"",""-"",""10025"",""10100"",""569830"",""414755"",""442569"",""15"",""20497"",""1993"",""4074800"",""22"",""-"",""15203"",""171557"",""1"",""-"",""-"",""853763"",""91500"",""2261152"",""740200"",""102000"",""..."",""-"",""1930"",""123657"""
"São Paulo,""1993"",""Quantidade produzida (Toneladas)"","".."",""178864"",""25010"",""..."",""..."",""-"",""225000"",""1670"",""135250"",""311100"",""-"",""-"",""60070"",""46562"",""487750"",""27443"",""..."",""219"",""432000"",""..."",""..."",""..."",""148647000"",""..."",""298550"",""-"",""290230"",""-"",""-"",""44810"",""319"",""-"",""-"",""50"",""-"",""306200"",""175916"",""165"",""..."",""742400"",""-"",""-"",""76750000"",""5253372"",""-"",""82490"",""-"",""7914"",""4480"",""627630"",""473952"",""436614"",""-"",""22605"",""1897"",""3684500"",""20"",""-"",""16071"",""178839"",""1"",""-"",""-"",""976200"",""85690"",""2117636"",""742280"",""86400"",""..."",""-"",""1538"",""119610"""
