"Unidade da Federação,""Ano"",""Variável"",""Total"",""Abacate"",""Abacaxi*"",""Açaí"",""Alfafa fenada"",""Algodão arbóreo (em caroço)"",""Algodão herbáceo (em caroço)"",""Alho"",""Amendoim (em casca)"",""Arroz (em casca)"",""Aveia (em grão)"",""Azeitona"",""Banana (cacho)"",""Batata-doce"",""Batata-inglesa"",""Borracha (látex coagulado)"",""Borracha (látex líquido)"",""Cacau (em amêndoa)"",""Café (em grão) Total"",""Café (em grão) Arábica"",""Café (em grão) Canephora"",""Caju"",""Cana-de-açúcar"",""Cana para forragem"",""Caqui"",""Castanha de caju"",""Cebola"",""Centeio (em grão)"",""Cevada (em grão)"",""Chá-da-índia (folha verde)"",""Coco-da-baía*"",""Dendê (cacho de coco)"",""Erva-mate (folha verde)"",""Ervilha (em grão)"",""Fava (em grão)"",""Feijão (em grão)"",""Figo"",""Fumo (em folha)"",""Girassol (em grão)"",""Goiaba"",""Guaraná (semente)"",""Juta (fibra)"",""Laranja"",""Limão"",""Linho (semente)"",""Maçã"",""Malva (fibra)"",""Mamão"",""Mamona (baga)"",""Mandioca"",""Manga"",""Maracujá"",""Marmelo"",""Melancia"",""Melão"",""Milho (em grão)"",""Noz (fruto seco)"",""Palmito"",""Pera"",""Pêssego"",""Pimenta-do-reino"",""Rami (fibra)"",""Sisal ou agave (fibra)"",""Soja (em grão)"",""Sorgo (em grão)"",""Tangerina"",""Tomate"",""Trigo (em grão)"",""Triticale (em grão)"",""Tungue (fruto seco)"",""Urucum (semente)"",""Uva"""
"São Paulo,""2004"",""Quantidade produzida (Toneladas)"","".."",""79864"",""87178"",""..."",""..."",""-"",""224700"",""1630"",""178100"",""106120"",""-"",""-"",""1060520"",""52932"",""779320"",""88157"",""..."",""-"",""258370"",""..."",""..."",""..."",""239527890"",""..."",""86815"",""-"",""186120"",""-"",""-"",""22997"",""28264"",""-"",""-"",""-"",""-"",""282330"",""9079"",""150"",""..."",""120282"",""-"",""-"",""14717790"",""780392"",""-"",""1875"",""-"",""6639"",""860"",""1086400"",""245085"",""46917"",""-"",""215868"",""1126"",""4647240"",""124"",""3735"",""4470"",""47330"",""-"",""-"",""-"",""1854230"",""290150"",""611212"",""749750"",""140100"",""..."",""-"",""2984"",""193300"""
"São Paulo,""2005"",""Quantidade produzida (Toneladas)"","".."",""77107"",""102374"",""..."",""..."",""-"",""231330"",""1630"",""226100"",""93720"",""-"",""-"",""1178140"",""48227"",""831965"",""94371"",""..."",""-"",""201130"",""..."",""..."",""..."",""254809756"",""..."",""83393"",""-"",""196251"",""-"",""-"",""19240"",""33857"",""-"",""-"",""-"",""-"",""246732"",""7953"",""110"",""-"",""117878"",""-"",""-"",""14366030"",""829097"",""-"",""1875"",""-"",""9871"",""3070"",""1144880"",""204607"",""40989"",""-"",""198602"",""1152"",""4093896"",""57"",""4654"",""4252"",""42949"",""-"",""-"",""-"",""1703660"",""208300"",""546325"",""747030"",""136300"",""71800"",""-"",""4162"",""190660"""
"São Paulo,""2006"",""Quantidade produzida (Toneladas)"","".."",""78085"",""103638"",""..."",""..."",""-"",""144370"",""1700"",""205050"",""82800"",""-"",""-"",""1175768"",""44372"",""726960"",""95313"",""..."",""-"",""259820"",""..."",""..."",""..."",""289299376"",""..."",""85503"",""-"",""197620"",""-"",""-"",""17430"",""31035"",""-"",""-"",""-"",""-"",""296270"",""9583"",""110"",""-"",""118520"",""-"",""-"",""14367011"",""814149"",""-"",""2080"",""-"",""10182"",""2890"",""1105850"",""156954"",""23458"",""-"",""148545"",""288"",""4378380"",""57"",""16769"",""3968"",""44379"",""-"",""-"",""-"",""1648100"",""220600"",""564359"",""672330"",""102690"",""71200"",""-"",""1848"",""195357"""
"São Paulo,""2007"",""Quantidade produzida (Toneladas)"","".."",""70812"",""108552"",""..."",""..."",""-"",""118101"",""1671"",""211551"",""87744"",""-"",""-"",""1121261"",""45296"",""921742"",""102617"",""..."",""-"",""234551"",""..."",""..."",""..."",""329095578"",""..."",""80101"",""-"",""178561"",""-"",""-"",""3476"",""33759"",""-"",""-"",""-"",""-"",""247840"",""6625"",""152"",""-"",""102965"",""-"",""-"",""14904621"",""803140"",""-"",""2052"",""-"",""10900"",""2229"",""1026732"",""193151"",""25675"",""-"",""179520"",""553"",""4190573"",""74"",""1933"",""2700"",""38537"",""-"",""-"",""-"",""1243833"",""187269"",""510778"",""763227"",""105159"",""65495"",""-"",""3833"",""198123"""
"São Paulo,""2008"",""Quantidade produzida (Toneladas)"","".."",""69904"",""69086"",""..."",""..."",""-"",""55573"",""1717"",""238437"",""81962"",""-"",""-"",""1225083"",""55335"",""756089"",""111833"",""..."",""-"",""256011"",""..."",""..."",""..."",""386061274"",""..."",""88222"",""-"",""187937"",""-"",""-"",""19268"",""36543"",""-"",""-"",""-"",""-"",""283954"",""4804"",""177"",""-"",""89772"",""-"",""-"",""14537610"",""751208"",""-"",""2037"",""-"",""11494"",""1426"",""1038400"",""207930"",""20544"",""-"",""143879"",""1242"",""4681177"",""8"",""17274"",""2189"",""41245"",""-"",""-"",""-"",""1446108"",""144124"",""421122"",""770804"",""169888"",""69530"",""-"",""2151"",""193534"""
"São Paulo,""2009"",""Quantidade produzida (Toneladas)"","".."",""74193"",""68401"",""..."",""..."",""-"",""37278"",""2790"",""184257"",""58346"",""-"",""-"",""1257539"",""45307"",""682467"",""122318"",""..."",""8"",""198101"",""..."",""..."",""..."",""408451088"",""..."",""85905"",""-"",""211286"",""-"",""-"",""18984"",""35260"",""-"",""-"",""22"",""-"",""292684"",""4998"",""186"",""806"",""79705"",""-"",""-"",""13642165"",""674104"",""-"",""1770"",""-"",""6064"",""260"",""982070"",""186739"",""22432"",""-"",""160708"",""1656"",""3674059"",""889"",""3071"",""1541"",""30238"",""-"",""-"",""-"",""1327105"",""85095"",""415054"",""730385"",""111224"",""43591"",""-"",""1738"",""185123"""
"São Paulo,""2010"",""Quantidade produzida (Toneladas)"","".."",""83002"",""77729"",""..."",""..."",""-"",""29658"",""845"",""202272"",""84429"",""11495"",""-"",""1238243"",""30485"",""598706"",""131240"",""..."",""-"",""278264"",""..."",""..."",""..."",""426572099"",""..."",""80249"",""-"",""167247"",""-"",""-"",""17400"",""37250"",""-"",""-"",""247"",""-"",""235234"",""5309"",""187"",""700"",""105781"",""-"",""-"",""14269383"",""783174"",""-"",""1040"",""-"",""7160"",""482"",""1169080"",""211904"",""31959"",""-"",""191884"",""69"",""4026500"",""1153"",""16919"",""213"",""39484"",""-"",""-"",""-"",""1412934"",""79029"",""436313"",""647793"",""120680"",""37755"",""-"",""2936"",""190486"""
"São Paulo,""2011"",""Quantidade produzida (Toneladas)"","".."",""91909"",""65893"",""..."",""..."",""-"",""39865"",""824"",""258566"",""100942"",""1791"",""-"",""1354528"",""44128"",""686717"",""149778"",""..."",""-"",""238570"",""..."",""..."",""..."",""427364854"",""..."",""74202"",""-"",""133238"",""-"",""-"",""14200"",""34749"",""-"",""-"",""13"",""-"",""216829"",""7257"",""159"",""107"",""112779"",""-"",""-"",""15293506"",""853138"",""-"",""1153"",""-"",""10124"",""2491"",""1321297"",""227248"",""35052"",""-"",""242586"",""2735"",""3362555"",""866"",""15957"",""268"",""33895"",""-"",""-"",""-"",""1271437"",""81944"",""382765"",""827100"",""78507"",""21688"",""-"",""2742"",""217290"""
"São Paulo,""2012"",""Quantidade produzida (Toneladas)"","".."",""82780"",""87337"",""..."",""..."",""-"",""55853"",""40"",""291669"",""120620"",""3639"",""-"",""1215435"",""41449"",""735671"",""164301"",""..."",""-"",""275183"",""275183"",""-"",""..."",""408001978"",""..."",""79711"",""-"",""238300"",""-"",""-"",""5550"",""26437"",""-"",""-"",""-"",""-"",""206738"",""10550"",""158"",""536"",""125462"",""-"",""-"",""13365983"",""923178"",""-"",""3665"",""-"",""12617"",""127"",""1354849"",""234380"",""28182"",""-"",""203960"",""100"",""4478520"",""1015"",""96675"",""195"",""37633"",""-"",""-"",""-"",""1566956"",""71698"",""362968"",""824337"",""122207"",""26800"",""-"",""2677"",""214684"""
"São Paulo,""2013"",""Quantidade produzida (Toneladas)"","".."",""85101"",""76277"",""..."",""..."",""-"",""48345"",""35"",""349775"",""67532"",""6100"",""-"",""1090009"",""71418"",""651476"",""175044"",""..."",""-"",""273928"",""273913"",""15"",""..."",""434079735"",""..."",""91773"",""-"",""190268"",""-"",""-"",""2812"",""25012"",""-"",""-"",""13"",""-"",""216471"",""10737"",""59"",""-"",""138058"",""-"",""-"",""13018878"",""773411"",""-"",""3742"",""-"",""11798"",""79"",""1323090"",""214260"",""22553"",""-"",""174940"",""401"",""4408375"",""1514"",""32178"",""298"",""26849"",""-"",""-"",""-"",""1844951"",""78857"",""323321"",""885894"",""84345"",""12670"",""-"",""2869"",""166602"""
"São Paulo,""2014"",""Quantidade produzida (Toneladas)"","".."",""79316"",""88401"",""..."",""..."",""-"",""40738"",""76"",""366216"",""59802"",""6252"",""48"",""1056387"",""74988"",""687726"",""185274"",""..."",""-"",""289257"",""289205"",""52"",""..."",""401332100"",""..."",""105879"",""-"",""203493"",""-"",""-"",""5612"",""23697"",""-"",""-"",""424"",""-"",""194490"",""9916"",""23"",""242"",""133622"",""-"",""-"",""12290567"",""764514"",""-"",""2961"",""-"",""20595"",""4"",""1316946"",""205461"",""20187"",""-"",""194334"",""473"",""3983895"",""1554"",""72446"",""346"",""31209"",""-"",""-"",""-"",""1709229"",""45790"",""308966"",""956869"",""233078"",""13360"",""-"",""3452"",""153822"""
"São Paulo,""2015"",""Quantidade produzida (Toneladas)"","".."",""90281"",""96719"",""-"",""..."",""-"",""14268"",""82"",""457903"",""62022"",""17128"",""91"",""998038"",""113793"",""729957"",""182303"",""..."",""-"",""254376"",""254348"",""28"",""..."",""423419511"",""..."",""112396"",""-"",""197070"",""-"",""6000"",""2274"",""25039"",""-"",""-"",""12"",""-"",""235999"",""11157"",""16"",""1897"",""143682"",""-"",""-"",""12279253"",""759495"",""-"",""5446"",""-"",""40337"",""-"",""1171901"",""184042"",""23697"",""-"",""240716"",""273"",""4688951"",""1063"",""22716"",""308"",""35954"",""-"",""-"",""-"",""2406262"",""71360"",""356264"",""1097937"",""320755"",""9375"",""-"",""3690"",""142631"""
"São Paulo,""2016"",""Quantidade produzida (Toneladas)"","".."",""104011"",""93647"",""-"",""..."",""-"",""15246"",""74"",""525993"",""60860"",""12967"",""97"",""1089820"",""150886"",""665878"",""183652"",""..."",""-"",""340276"",""340252"",""24"",""..."",""442282329"",""..."",""102421"",""-"",""222041"",""-"",""10783"",""1974"",""17736"",""-"",""-"",""16"",""-"",""308813"",""11391"",""16"",""4115"",""146943"",""-"",""-"",""12858403"",""882852"",""-"",""5192"",""-"",""32997"",""207"",""1158884"",""178722"",""28275"",""-"",""280923"",""338"",""4592671"",""1262"",""34504"",""285"",""32093"",""-"",""-"",""-"",""2792796"",""79886"",""368284"",""1101336"",""361007"",""8918"",""-"",""3378"",""140613"""
"São Paulo,""2017"",""Quantidade produzida (Toneladas)"","".."",""121216"",""26804"",""-"",""..."",""-"",""13985"",""117"",""504582"",""59118"",""17824"",""179"",""1080759"",""161174"",""723117"",""208031"",""..."",""-"",""262805"",""262763"",""42"",""..."",""450424570"",""..."",""101204"",""-"",""218012"",""-"",""7932"",""1974"",""16283"",""-"",""-"",""11"",""-"",""265564"",""10903"",""16"",""6254"",""173926"",""-"",""-"",""13357707"",""979106"",""-"",""5807"",""-"",""13672"",""-"",""1068859"",""176127"",""30387"",""-"",""290196"",""363"",""5178871"",""1134"",""29132"",""300"",""34592"",""-"",""-"",""-"",""3291823"",""86918"",""370385"",""929793"",""381810"",""7012"",""-"",""4031"",""133261"""
"São Paulo,""2018"",""Quantidade produzida (Toneladas)"","".."",""132017"",""95156"",""-"",""..."",""-"",""21302"",""155"",""520183"",""58928"",""12144"",""111"",""1061610"",""149085"",""689506"",""227035"",""..."",""-"",""342870"",""342814"",""56"",""..."",""430533785"",""..."",""79960"",""-"",""168668"",""-"",""12740"",""2034"",""13937"",""-"",""-"",""71"",""-"",""242769"",""8924"",""12"",""3254"",""195856"",""-"",""-"",""12884188"",""1171745"",""-"",""4913"",""-"",""11860"",""-"",""1178322"",""202328"",""32967"",""-"",""281647"",""471"",""4488539"",""1100"",""36039"",""590"",""34640"",""-"",""-"",""-"",""3410297"",""94955"",""377882"",""870598"",""301144"",""3480"",""-"",""5492"",""138055"""
"São Paulo,""2019"",""Quantidade produzida (Toneladas)"","".."",""123164"",""82536"",""-"",""..."",""-"",""47779"",""142"",""541158"",""57374"",""11692"",""400"",""1008572"",""140727"",""650522"",""242257"",""..."",""-"",""290400"",""290089"",""311"",""..."",""425617093"",""..."",""80535"",""-"",""171309"",""-"",""12390"",""2010"",""15859"",""-"",""-"",""62"",""-"",""264859"",""9017"",""12"",""3160"",""194002"",""-"",""-"",""13256246"",""1117348"",""-"",""4807"",""-"",""13449"",""56"",""1358067"",""206854"",""30809"",""-"",""260645"",""175"",""4800956"",""10"",""39749"",""646"",""32983"",""-"",""-"",""-"",""3455497"",""227037"",""331667"",""918497"",""373336"",""5420"",""-"",""5424"",""149064"""
"São Paulo,""2020"",""Quantidade produzida (Toneladas)"","".."",""130202"",""77071"",""-"",""..."",""-"",""46273"",""160"",""603967"",""59038"",""20646"",""594"",""1000132"",""182671"",""682800"",""249393"",""..."",""-"",""344694"",""344610"",""84"",""..."",""431525560"",""..."",""78159"",""-"",""166849"",""-"",""14033"",""2010"",""16400"",""-"",""-"",""62"",""-"",""255490"",""8871"",""9"",""2696"",""182927"",""-"",""-"",""12955120"",""1119143"",""-"",""5019"",""-"",""13486"",""89"",""1501957"",""216463"",""30405"",""-"",""251403"",""55"",""4503594"",""8"",""38525"",""640"",""33580"",""-"",""-"",""-"",""3887567"",""183235"",""337778"",""801471"",""432674"",""12517"",""-"",""5541"",""149803"""
"São Paulo,""2021"",""Quantidade produzida (Toneladas)"","".."",""140543"",""74781"",""-"",""..."",""-"",""19110"",""162"",""741538"",""58791"",""20728"",""461"",""1007343"",""152788"",""582210"",""260046"",""..."",""-"",""318478"",""318395"",""83"",""..."",""405000643"",""..."",""78609"",""-"",""165758"",""-"",""18132"",""2019"",""15258"",""-"",""-"",""71"",""-"",""229660"",""9613"",""9"",""1640"",""172180"",""-"",""-"",""12501859"",""1073437"",""-"",""4803"",""-"",""15091"",""34"",""1456284"",""164326"",""27181"",""-"",""226057"",""55"",""3709901"",""8"",""38480"",""489"",""31807"",""-"",""-"",""-"",""4184832"",""233679"",""334119"",""742395"",""435413"",""10582"",""-"",""4658"",""168729"""
"São Paulo,""2022"",""Quantidade produzida (Toneladas)"","".."",""146377"",""72987"",""-"",""..."",""-"",""37288"",""163"",""781969"",""56740"",""18999"",""591"",""991836"",""160514"",""688552"",""262951"",""..."",""-"",""293377"",""293251"",""126"",""..."",""420724619"",""..."",""77531"",""-"",""183443"",""-"",""16473"",""2013"",""12960"",""-"",""-"",""73"",""-"",""234837"",""8087"",""9"",""2000"",""188294"",""-"",""-"",""13025994"",""1199296"",""-"",""4759"",""-"",""20688"",""-"",""1428113"",""197322"",""29200"",""-"",""208284"",""-"",""4785141"",""8"",""38853"",""510"",""33075"",""-"",""-"",""-"",""4478064"",""306731"",""369034"",""917349"",""499196"",""8298"",""-"",""4876"",""164131"""
"São Paulo,""2023"",""Quantidade produzida (Toneladas)"","".."",""183364"",""48585"",""-"",""..."",""-"",""39496"",""130"",""787596"",""47648"",""17165"",""470"",""976455"",""158207"",""757520"",""280381"",""..."",""-"",""307353"",""307221"",""132"",""..."",""439098082"",""..."",""78105"",""-"",""186769"",""-"",""21686"",""2011"",""12244"",""-"",""-"",""70"",""-"",""218240"",""10228"",""9"",""2349"",""182077"",""-"",""-"",""13643857"",""1283395"",""-"",""4733"",""-"",""18934"",""-"",""1658942"",""212225"",""28906"",""-"",""193019"",""-"",""4846053"",""4"",""39011"",""571"",""29467"",""-"",""-"",""-"",""4962226"",""412243"",""323645"",""867414"",""462062"",""6745"",""-"",""5577"",""152532"""
